date,headline,link
23/12/2024,Chứng khoán Vietcap thanh toán thay nhà đầu tư ngoại mua cổ phiếu chậm trả tiền,https://vietstock.vn/2024/12/chung-khoan-vietcap-thanh-toan-thay-nha-dau-tu-ngoai-mua-co-phieu-cham-tra-tien-739-1254406.htm
29/11/2024,TPB: HĐQT thông qua việc tái cấp hạn mức tín dụng cho CTCP Bán lẻ Kỹ thuật số FPT,https://vietstock.vn/2024/11/tpb-hdqt-thong-qua-viec-tai-cap-han-muc-tin-dung-cho-ctcp-ban-le-ky-thuat-so-fpt-739-1248998.htm
19/11/2024,FPT: Báo cáo kết quả giao dịch cổ phiếu của Người nội bộ Nguyễn Việt Thắng,https://vietstock.vn/2024/11/fpt-bao-cao-ket-qua-giao-dich-co-phieu-cua-nguoi-noi-bo-nguyen-viet-thang-739-1246496.htm
14/10/2024,FPT: Báo cáo kết quả giao dịch cổ phiếu ESOP của người nội bộ và người có liên quan,https://vietstock.vn/2024/10/fpt-bao-cao-ket-qua-giao-dich-co-phieu-esop-cua-nguoi-noi-bo-va-nguoi-co-lien-quan-739-1236093.htm
15/10/2024,Sếp FPT nhận cổ phiếu ESOP trị giá trên 5 triệu USD,https://vietstock.vn/2024/10/sep-fpt-nhan-co-phieu-esop-tri-gia-tren-5-trieu-usd-214-1236288.htm
01/05/2024,"Giá cổ phiếu FPT lập đỉnh mới, tài sản dàn lãnh đạo biến động ra sao?",https://vietstock.vn/2024/05/gia-co-phieu-fpt-lap-dinh-moi-tai-san-dan-lanh-dao-bien-dong-ra-sao-830-1185051.htm
14/03/2024,FPT: Bổ nhiệm Ông Phạm Minh Tuấn giữ chức vụ Phó Tổng giám đốc,https://vietstock.vn/2024/03/fpt-bo-nhiem-ong-pham-minh-tuan-giu-chuc-vu-pho-tong-giam-doc-214-1164727.htm
13/03/2024,FPT bổ nhiệm Phó Tổng Giám đốc mới,https://vietstock.vn/2024/03/fpt-bo-nhiem-pho-tong-giam-doc-moi-214-1164380.htm
26/04/2023,Ông Hoàng Nam Tiến thôi làm Chủ tịch FPT Telecom,https://vietstock.vn/2023/04/ong-hoang-nam-tien-thoi-lam-chu-tich-fpt-telecom-214-1064896.htm
05/03/2025,'Luật hóa' tiền kỹ thuật số góp phần phát triển kinh tế số,https://vietstock.vn/2025/03/luat-hoa-tien-ky-thuat-so-gop-phan-phat-trien-kinh-te-so-768-1277889.htm
05/03/2025,Khai phá tiềm năng vàng 2025: Thúc đẩy tiêu dùng trong nước và phát triển thị trường nội địa,https://vietstock.vn/2025/03/khai-pha-tiem-nang-vang-2025-thuc-day-tieu-dung-trong-nuoc-va-phat-trien-thi-truong-noi-dia-761-1273693.htm
04/03/2025,"Quỹ đầu tư của ""cá mập"" Shark Tank muốn xây trung tâm dữ liệu 1.5 tỷ USD ở Bình Dương",https://vietstock.vn/2025/03/quy-dau-tu-cua-ca-map-shark-tank-muon-xay-trung-tam-du-lieu-15-ty-usd-o-binh-duong-768-1277394.htm
04/03/2025,"Kịch bản thao túng tâm lý, dẫn dụ con mồi tự nguyện chuyển tiền",https://vietstock.vn/2025/03/kich-ban-thao-tung-tam-ly-dan-du-con-moi-tu-nguyen-chuyen-tien-4260-1277287.htm
04/03/2025,"Ông Trump sẽ áp thuế nông sản, kêu gọi nông dân Mỹ hãy ""sản xuất thật nhiều""",https://vietstock.vn/2025/03/ong-trump-se-ap-thue-nong-san-keu-goi-nong-dan-my-hay-san-xuat-that-nhieu-775-1277194.htm
04/03/2025,"Chuyên gia chỉ rõ sự thật về đồng Pi, không hiểu biết 90% mất trắng tiền",https://vietstock.vn/2025/03/chuyen-gia-chi-ro-su-that-ve-dong-pi-khong-hieu-biet-90-mat-trang-tien-4260-1277189.htm
03/03/2025,"Nguy cơ khi đầu tư, mua bán 'tiền ảo' Pi Network",https://vietstock.vn/2025/03/nguy-co-khi-dau-tu-mua-ban-tien-ao-pi-network-4260-1276775.htm
03/03/2025,Warren Buffett: Thuế quan của Trump sẽ đánh thẳng vào túi tiền người dân,https://vietstock.vn/2025/03/warren-buffett-thue-quan-cua-trump-se-danh-thang-vao-tui-tien-nguoi-dan-775-1276647.htm
03/03/2025,Bộ Xây dựng quản lý bao nhiêu doanh nghiệp?,https://vietstock.vn/2025/03/bo-xay-dung-quan-ly-bao-nhieu-doanh-nghiep-768-1276646.htm
01/03/2025,Tổng Giám đốc YEG mua hơn 1.9 triệu cp,https://vietstock.vn/2025/03/tong-giam-doc-yeg-mua-hon-19-trieu-cp-739-1276575.htm
Unknown,"Trả cổ tức đợt 1/2024 bằng tiền, 1,000 đồng/CP",N/A
Unknown,"Trả cổ tức đợt 2/2023 bằng tiền, 1,000 đồng/CP",N/A
Unknown,"Thưởng cổ phiếu, tỷ lệ 20:3",N/A
Unknown,"Trả cổ tức đợt 1/2023 bằng tiền, 1,000 đồng/CP",N/A
Unknown,"Trả cổ tức đợt 2/2022 bằng tiền, 1,000 đồng/CP",N/A
Unknown,"Giao dịch bổ sung - 3,319,000 CP",N/A
Unknown,"Giao dịch bổ sung - 1,820,000 CP",N/A
Unknown,"Giao dịch bổ sung - 2,107,000 CP",N/A
Unknown,"Giao dịch bổ sung - 1,290,300 CP",N/A
Unknown,"Giao dịch bổ sung - 7,302,117 CP",N/A
Unknown,Họp ĐHĐCĐ thường niên năm 2025,N/A
Unknown,Họp ĐHĐCĐ thường niên năm 2024,N/A
Unknown,Họp ĐHĐCĐ thường niên năm 2023,N/A
Unknown,Họp ĐHĐCĐ thường niên năm 2022,N/A
Unknown,Họp ĐHĐCĐ thường niên năm 2021,N/A
Unknown,"STC: Trả cổ tức năm 2024 bằng tiền, 1,400 đồng/CP",N/A
Unknown,"SMN: Trả cổ tức năm 2024 bằng tiền, 1,100 đồng/CP",N/A
Unknown,"NBE: Trả cổ tức năm 2024 bằng tiền, 1,100 đồng/CP",N/A
Unknown,"EBS: Trả cổ tức năm 2024 bằng tiền, 800 đồng/CP",N/A
Unknown,"DAE: Trả cổ tức năm 2024 bằng tiền, 1,200 đồng/CP",N/A
Unknown,"FPT: Giao dịch bổ sung - 3,319,000 CP",N/A
Unknown,"FPT: Giao dịch bổ sung - 1,820,000 CP",N/A
Unknown,"FPT: Giao dịch bổ sung - 2,107,000 CP",N/A
Unknown,"FPT: Giao dịch bổ sung - 1,290,300 CP",N/A
Unknown,"FPT: Giao dịch bổ sung - 7,302,117 CP",N/A
Unknown,DAD: Họp ĐHĐCĐ thường niên năm 2025,N/A
Unknown,SMN: Họp ĐHĐCĐ thường niên năm 2025,N/A
Unknown,STC: Họp ĐHĐCĐ thường niên năm 2025,N/A
Unknown,BST: Họp ĐHĐCĐ thường niên năm 2025,N/A
Unknown,NBE: Họp ĐHĐCĐ thường niên năm 2025,N/A
