date,headline,link
14/02/2025 00:00,FPT: Ông Bùi Quang Ngọc - Phó chủ tịch HĐQT đã bán 2.000.000 cp,https://cafef.vn/du-lieu/FPT-2130904/fpt-ong-bui-quang-ngoc-pho-chu-tich-hdqt-da-ban-2000000-cp.chn
14/02/2025 00:00,"FPT: 6.3.2025, ngày GDKHQ tham dự ĐHCĐ thường niên năm 2025",https://cafef.vn/du-lieu/FPT-2131821/fpt-632025-ngay-gdkhq-tham-du-dhcd-thuong-nien-nam-2025.chn
13/02/2025 06:52,"Viettel, FPT, VNPT đều công bố sở hữu Trung tâm dữ liệu lớn nhất Việt Nam: Ai nói ""thật""?",https://cafef.vn/viettel-fpt-vnpt-deu-cong-bo-so-huu-trung-tam-du-lieu-lon-nhat-viet-nam-ai-noi-that-188250213065211489.chn
12/02/2025 13:37,FPT khai trương văn phòng mới tại “Thung lũng Silicon” của Hàn Quốc,https://cafef.vn/fpt-khai-truong-van-phong-moi-tai-thung-lung-silicon-cua-han-quoc-188250212133714452.chn
11/02/2025 00:01,"Quỹ khổng lồ đến từ Trung Quốc miệt mài gom FPT dù “xả” mạnh hàng loạt cổ phiếu Việt Nam, ông chủ đứng sau là một tỷ phú công nghệ",https://cafef.vn/quy-khong-lo-den-tu-trung-quoc-miet-mai-gom-fpt-du-xa-manh-hang-loat-co-phieu-viet-nam-ong-chu-dung-sau-la-mot-ty-phu-cong-nghe-18825021022111418.chn
10/02/2025 11:14,"Báo cáo 2-3-4-5 của ông Trương Gia Bình và đề nghị ""Bình dân AI vụ"" theo bài học ""bình dân học vụ"" của bác Hồ",https://cafef.vn/bao-cao-2345-cua-ong-truong-gia-binh-va-de-nghi-binh-dan-ai-vu-theo-bai-hoc-binh-dan-hoc-vu-cua-bac-ho-188250210111509633.chn
09/02/2025 08:57,"Top 50 lợi nhuận 2024 vẫn là cuộc áp đảo của ngân hàng và BĐS, BSR, KBC, HAG, NVL 'biến mất' trong khi 2 công ty họ GELEX trỗi dậy",https://cafef.vn/top-50-loi-nhuan-2024-van-la-cuoc-ap-dao-cua-ngan-hang-va-bds-bsr-kbc-hag-nvl-bien-mat-trong-khi-2-cong-ty-ho-gelex-troi-day-188250209085725353.chn
08/02/2025 14:26,"FPT đặt mục tiêu doanh thu năm 2025 hơn 3 tỷ USD, lợi nhuận năm thứ 5 liên tiếp tăng trưởng trên 20%",https://cafef.vn/fpt-dat-muc-tieu-doanh-thu-nam-2025-hon-3-ty-usd-loi-nhuan-nam-thu-5-lien-tiep-tang-truong-tren-20-188250208142514152.chn
07/02/2025 00:00,FPT: Nghị quyết HĐQT phê duyệt kế hoạch kinh doanh năm 2025,https://cafef.vn/du-lieu/FPT-2127224/fpt-nghi-quyet-hdqt-phe-duyet-ke-hoach-kinh-doanh-nam-2025.chn
06/02/2025 00:01,"Sau cú bắt tay với tỷ phú Jensen Huang, tập đoàn FPT đón nhận tin cực vui tại Nhật Bản",https://cafef.vn/sau-cu-bat-tay-voi-ty-phu-jensen-huang-tap-doan-fpt-don-nhan-tin-cuc-vui-tai-nhat-ban-188250205210120549.chn
05/02/2025 14:57,"Ông Trương Gia Bình phân tích Âm dương ngũ hành: Năm nay FPT vượng khí dồi dào, không muốn nhận cũng không được, thời tới, cản không kịp",https://cafef.vn/ong-truong-gia-binh-phan-tich-am-duong-ngu-hanh-nam-nay-fpt-vuong-khi-doi-dao-khong-muon-nhan-cung-khong-duoc-thoi-toi-can-khong-kip-188250205145759641.chn
05/02/2025 13:00,"FPT đạt cột mốc mới sau khi ""bắt tay"" NVIDIA mở nhà máy AI, đặt mục tiêu lọt top công ty lớn ở Nhật vào năm 2027",https://cafef.vn/fpt-dat-cot-moc-moi-sau-khi-bat-tay-nvidia-mo-nha-may-ai-dat-muc-tieu-lot-top-cong-ty-lon-o-nhat-vao-nam-2027-188250205125919324.chn
04/02/2025 11:09,"Tập đoàn CNTT hàng đầu Việt Nam ""mất"" 13.000 tỷ trong 1 ngày, chủ tịch hát ""Tái sinh"", hô khẩu hiệu lạ",https://cafef.vn/tap-doan-cntt-hang-dau-viet-nam-mat-13000-ty-trong-1-ngay-chu-tich-hat-tai-sinh-ho-khau-hieu-la-188250204110944411.chn
04/02/2025 09:45,Ông Trương Gia Bình hé lộ bí kíp để FPT thành công như DeepSeek,https://cafef.vn/ong-truong-gia-binh-he-lo-bi-kip-de-fpt-thanh-cong-nhu-deepseek-188250204094602786.chn
04/02/2025 00:05,"Ông Trương Gia Bình ""mất"" hơn 800 tỷ ngay phiên đầu năm mới",https://cafef.vn/ong-truong-gia-binh-mat-hon-800-ty-ngay-phien-dau-nam-moi-188250203235642048.chn
04/02/2025 00:01,Chủ tịch FPT Trương Gia Bình hát Tái sinh giữa lúc cơn bão DeepSeek càn quét cổ phiếu công nghệ toàn cầu,https://cafef.vn/chu-tich-fpt-truong-gia-binh-hat-tai-sinh-giua-luc-con-bao-deepseek-can-quet-co-phieu-cong-nghe-toan-cau-188250203235058551.chn
03/02/2025 10:49,"Cơn bão DeepSeek càn quét cổ phiếu công nghệ: FPT “bay” 10.000 tỷ vốn hóa, nối gót các “big tech” NVIDIA, Microsoft,…",https://cafef.vn/con-bao-deepseek-can-quet-co-phieu-cong-nghe-fpt-bay-10000-ty-von-hoa-noi-got-cac-big-tech-nvidia-microsoft-188250203104951198.chn
03/02/2025 00:00,FPT: Báo cáo tình hình quản trị công ty năm 2024,https://cafef.vn/du-lieu/FPT-2134900/fpt-bao-cao-tinh-hinh-quan-tri-cong-ty-nam-2024.chn
30/01/2025 12:32,Doanh nhân Đỗ Cao Bảo kể về hành trình trở thành công ty toàn cầu từ 1 triệu USD của FPT và bí quyết,https://cafef.vn/doanh-nhan-do-cao-bao-ke-ve-hanh-trinh-tro-thanh-cong-ty-toan-cau-tu-1-trieu-usd-cua-fpt-va-bi-quyet-188250130121224391.chn
29/01/2025 08:30,Tổng giám đốc FPT: 10 năm chuẩn bị cho giấc mơ AI và câu chuyện lãnh đạo bán hàng tại FPT,https://cafef.vn/tong-giam-doc-fpt-10-nam-chuan-bi-cho-giac-mo-ai-va-cau-chuyen-lanh-dao-ban-hang-tai-fpt-188250129083102376.chn
